PG-13 Fifty Shades of Grey,"I sit up and reach for the orange juice, drinking it down too quickly. It’s delicious, ice cold, and it makes my mouth a much better place."
PG-13 Fifty Shades of Grey,"My inner goddess is doing a triple axel dismount off the uneven bars, and abruptly my mouth is dry"
PG-13 Fifty Shades of Grey,"His gaze is intense, all humor gone, and strange muscles deep in my belly clench suddenly."
PG-13 Fifty Shades of Grey,His voice is warm and husky like dark melted chocolate fudge caramel... or something.
PG-13 Fifty Shades of Grey,"I am all gushing and breathy—like a child, not a grown woman who can vote and drink legally in the state of Washington."
PG-13 Fifty Shades of Grey,"Grabbing it quickly, I squirt toothpaste on it and brush my teeth in double quick time. I feel so naughty. It's such a thrill."
PG-13 Fifty Shades of Grey,"Put the chicken in the fridge.' This is not a sentence I had ever expected to hear from Christian, and only he can make it sound hot, really hot."
PG-13 Fifty Shades of Grey,"Christian, you are the state lottery, the cure for cancer, and the three wishes from Aladdin's lamp all rolled into one"
PG-13 Fifty Shades of Grey,"His gaze is intense, all humor gone, and strange muscles deep in my belly clench suddenly."
The Lightning Thief,How did you die? We er....drowned in a bathtub. All three of you? It was a big bathtub.
The Lightning Thief,"I'd love to tell you I had some deep revelation on my way down, that I came to terms with my own mortality, laughed in the face of death, et cetera. The truth? My only thought was: Aaaaggghhhhh!"
The Lightning Thief,"Percy nodded. ""You hit the Titan Lord in the eye with a blue plastic hairbrush"""
The Lightning Thief,"I had this accident with a Revolutionary War cannon. I wasn't aiming for the school bus, but of course I got expelled anyway"
The Lightning Thief,What horrible things would you have to do in your life to get woven into Hades' underwear?
The Lightning Thief,"""I'd made water shoot out of the bathroom fixtures. I didn't understand how. But the toilets responded to me. I had become one with the plumbing"
The Lightning Thief,"You see, I was closed-minded. I assumed that farts were something to be ashamed of. But your actions have shown me that farts are something to be proud of, and are worth even more than their weight in gold. Which is why at the next Council of Olympus, I will propose that Pooseidon be made known to humans as the thirteenth god."
